ticket_id,customer_message,category_gold,subcategory_gold,priority_gold,sentiment_gold,human_review_gold,label_note,dataset_subset,source_type,label_status,label_version
GOLD-0035,카드 결제가 계속 실패해요 어떻게 처리하면 될까요,주문/결제,결제 실패,normal,negative,false,주문/결제 > 결제 실패 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0036,같은 주문이 두 번 결제됐어요,주문/결제,중복 결제,high,negative,true,주문/결제 > 중복 결제 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0037,같은 주문이 두 번 결제됐어요 확인 부탁드립니다,주문/결제,중복 결제,high,negative,true,주문/결제 > 중복 결제 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0038,문의드립니다 같은 주문이 두 번 결제됐어요,주문/결제,중복 결제,high,negative,true,주문/결제 > 중복 결제 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0039,방금 확인했는데 같은 주문이 두 번 결제됐어요,주문/결제,중복 결제,high,negative,true,주문/결제 > 중복 결제 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0040,같은 주문이 두 번 결제됐어요 어떻게 처리하면 될까요,주문/결제,중복 결제,high,negative,true,주문/결제 > 중복 결제 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0041,주문한 옵션을 바꾸고 싶어요,주문/결제,주문 변경,normal,neutral,false,주문/결제 > 주문 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0042,주문한 옵션을 바꾸고 싶어요 확인 부탁드립니다,주문/결제,주문 변경,normal,neutral,false,주문/결제 > 주문 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0043,문의드립니다 주문한 옵션을 바꾸고 싶어요,주문/결제,주문 변경,normal,neutral,false,주문/결제 > 주문 변경 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0044,방금 확인했는데 주문한 옵션을 바꾸고 싶어요,주문/결제,주문 변경,normal,neutral,false,주문/결제 > 주문 변경 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0045,주문한 옵션을 바꾸고 싶어요 어떻게 처리하면 될까요,주문/결제,주문 변경,normal,neutral,false,주문/결제 > 주문 변경 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0046,주문이 정상 접수됐는지 확인하고 싶어요,주문/결제,주문 확인,low,neutral,false,주문/결제 > 주문 확인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0047,주문이 정상 접수됐는지 확인하고 싶어요 확인 부탁드립니다,주문/결제,주문 확인,low,neutral,false,주문/결제 > 주문 확인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0048,문의드립니다 주문이 정상 접수됐는지 확인하고 싶어요,주문/결제,주문 확인,low,neutral,false,주문/결제 > 주문 확인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0049,방금 확인했는데 주문이 정상 접수됐는지 확인하고 싶어요,주문/결제,주문 확인,low,neutral,false,주문/결제 > 주문 확인 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0050,주문이 정상 접수됐는지 확인하고 싶어요 어떻게 처리하면 될까요,주문/결제,주문 확인,low,neutral,false,주문/결제 > 주문 확인 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0051,쿠폰이 결제할 때 적용되지 않아요,주문/결제,쿠폰/프로모션,normal,neutral,false,주문/결제 > 쿠폰/프로모션 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0052,쿠폰이 결제할 때 적용되지 않아요 확인 부탁드립니다,주문/결제,쿠폰/프로모션,normal,neutral,false,주문/결제 > 쿠폰/프로모션 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0053,문의드립니다 쿠폰이 결제할 때 적용되지 않아요,주문/결제,쿠폰/프로모션,normal,neutral,false,주문/결제 > 쿠폰/프로모션 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0054,방금 확인했는데 쿠폰이 결제할 때 적용되지 않아요,주문/결제,쿠폰/프로모션,normal,neutral,false,주문/결제 > 쿠폰/프로모션 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0055,쿠폰이 결제할 때 적용되지 않아요 어떻게 처리하면 될까요,주문/결제,쿠폰/프로모션,normal,neutral,false,주문/결제 > 쿠폰/프로모션 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0056,표시된 할인 가격과 결제 가격이 달라요,주문/결제,가격/할인,low,neutral,false,주문/결제 > 가격/할인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0057,표시된 할인 가격과 결제 가격이 달라요 확인 부탁드립니다,주문/결제,가격/할인,low,neutral,false,주문/결제 > 가격/할인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0058,문의드립니다 표시된 할인 가격과 결제 가격이 달라요,주문/결제,가격/할인,low,neutral,false,주문/결제 > 가격/할인 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0059,방금 확인했는데 표시된 할인 가격과 결제 가격이 달라요,주문/결제,가격/할인,low,neutral,false,주문/결제 > 가격/할인 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0060,표시된 할인 가격과 결제 가격이 달라요 어떻게 처리하면 될까요,주문/결제,가격/할인,low,neutral,false,주문/결제 > 가격/할인 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0061,주문을 취소하고 싶어요,취소/환불,주문 취소,normal,neutral,false,취소/환불 > 주문 취소 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0062,주문을 취소하고 싶어요 확인 부탁드립니다,취소/환불,주문 취소,normal,neutral,false,취소/환불 > 주문 취소 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0063,문의드립니다 주문을 취소하고 싶어요,취소/환불,주문 취소,normal,neutral,false,취소/환불 > 주문 취소 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0064,방금 확인했는데 주문을 취소하고 싶어요,취소/환불,주문 취소,normal,neutral,false,취소/환불 > 주문 취소 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0065,주문을 취소하고 싶어요 어떻게 처리하면 될까요,취소/환불,주문 취소,normal,neutral,false,취소/환불 > 주문 취소 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0066,반품 완료 후에도 환불이 들어오지 않았어요,취소/환불,환불 지연,high,negative,true,취소/환불 > 환불 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0067,반품 완료 후에도 환불이 들어오지 않았어요 확인 부탁드립니다,취소/환불,환불 지연,high,negative,true,취소/환불 > 환불 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0068,문의드립니다 반품 완료 후에도 환불이 들어오지 않았어요,취소/환불,환불 지연,high,negative,true,취소/환불 > 환불 지연 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0069,방금 확인했는데 반품 완료 후에도 환불이 들어오지 않았어요,취소/환불,환불 지연,high,negative,true,취소/환불 > 환불 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0070,반품 완료 후에도 환불이 들어오지 않았어요 어떻게 처리하면 될까요,취소/환불,환불 지연,high,negative,true,취소/환불 > 환불 지연 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0071,결제 금액 중 일부만 환불됐어요,취소/환불,부분 환불,high,negative,true,취소/환불 > 부분 환불 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0072,결제 금액 중 일부만 환불됐어요 확인 부탁드립니다,취소/환불,부분 환불,high,negative,true,취소/환불 > 부분 환불 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0073,문의드립니다 결제 금액 중 일부만 환불됐어요,취소/환불,부분 환불,high,negative,true,취소/환불 > 부분 환불 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0074,방금 확인했는데 결제 금액 중 일부만 환불됐어요,취소/환불,부분 환불,high,negative,true,취소/환불 > 부분 환불 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0075,결제 금액 중 일부만 환불됐어요 어떻게 처리하면 될까요,취소/환불,부분 환불,high,negative,true,취소/환불 > 부분 환불 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0076,환불 예정 금액이 생각한 금액과 달라요,취소/환불,환불 금액,high,negative,true,취소/환불 > 환불 금액 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0077,환불 예정 금액이 생각한 금액과 달라요 확인 부탁드립니다,취소/환불,환불 금액,high,negative,true,취소/환불 > 환불 금액 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0078,문의드립니다 환불 예정 금액이 생각한 금액과 달라요,취소/환불,환불 금액,high,negative,true,취소/환불 > 환불 금액 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0079,방금 확인했는데 환불 예정 금액이 생각한 금액과 달라요,취소/환불,환불 금액,high,negative,true,취소/환불 > 환불 금액 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0080,환불 예정 금액이 생각한 금액과 달라요 어떻게 처리하면 될까요,취소/환불,환불 금액,high,negative,true,취소/환불 > 환불 금액 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0081,주문 취소 버튼이 비활성화되어 있어요,취소/환불,취소 불가,normal,negative,false,취소/환불 > 취소 불가 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0082,주문 취소 버튼이 비활성화되어 있어요 확인 부탁드립니다,취소/환불,취소 불가,normal,negative,false,취소/환불 > 취소 불가 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0083,문의드립니다 주문 취소 버튼이 비활성화되어 있어요,취소/환불,취소 불가,normal,negative,false,취소/환불 > 취소 불가 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0084,방금 확인했는데 주문 취소 버튼이 비활성화되어 있어요,취소/환불,취소 불가,normal,negative,false,취소/환불 > 취소 불가 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0085,주문 취소 버튼이 비활성화되어 있어요 어떻게 처리하면 될까요,취소/환불,취소 불가,normal,negative,false,취소/환불 > 취소 불가 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0086,마음이 바뀌어서 반품하고 싶어요,교환/반품,단순 변심 반품,normal,neutral,false,교환/반품 > 단순 변심 반품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0087,마음이 바뀌어서 반품하고 싶어요 확인 부탁드립니다,교환/반품,단순 변심 반품,normal,neutral,false,교환/반품 > 단순 변심 반품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0088,문의드립니다 마음이 바뀌어서 반품하고 싶어요,교환/반품,단순 변심 반품,normal,neutral,false,교환/반품 > 단순 변심 반품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0089,방금 확인했는데 마음이 바뀌어서 반품하고 싶어요,교환/반품,단순 변심 반품,normal,neutral,false,교환/반품 > 단순 변심 반품 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0090,마음이 바뀌어서 반품하고 싶어요 어떻게 처리하면 될까요,교환/반품,단순 변심 반품,normal,neutral,false,교환/반품 > 단순 변심 반품 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0091,제품이 정상적으로 작동하지 않아요,교환/반품,상품 불량,normal,negative,false,교환/반품 > 상품 불량 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0092,제품이 정상적으로 작동하지 않아요 확인 부탁드립니다,교환/반품,상품 불량,normal,negative,false,교환/반품 > 상품 불량 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0093,문의드립니다 제품이 정상적으로 작동하지 않아요,교환/반품,상품 불량,normal,negative,false,교환/반품 > 상품 불량 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0094,방금 확인했는데 제품이 정상적으로 작동하지 않아요,교환/반품,상품 불량,normal,negative,false,교환/반품 > 상품 불량 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0095,제품이 정상적으로 작동하지 않아요 어떻게 처리하면 될까요,교환/반품,상품 불량,normal,negative,false,교환/반품 > 상품 불량 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0096,제품이 깨져서 내용물이 샜어요,교환/반품,파손,high,negative,true,교환/반품 > 파손 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0097,제품이 깨져서 내용물이 샜어요 확인 부탁드립니다,교환/반품,파손,high,negative,true,교환/반품 > 파손 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0098,문의드립니다 제품이 깨져서 내용물이 샜어요,교환/반품,파손,high,negative,true,교환/반품 > 파손 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0099,방금 확인했는데 제품이 깨져서 내용물이 샜어요,교환/반품,파손,high,negative,true,교환/반품 > 파손 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0100,제품이 깨져서 내용물이 샜어요 어떻게 처리하면 될까요,교환/반품,파손,high,negative,true,교환/반품 > 파손 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0101,주문한 색상과 다른 색상이 왔어요,교환/반품,오배송 상품,high,negative,true,교환/반품 > 오배송 상품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0102,주문한 색상과 다른 색상이 왔어요 확인 부탁드립니다,교환/반품,오배송 상품,high,negative,true,교환/반품 > 오배송 상품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0103,문의드립니다 주문한 색상과 다른 색상이 왔어요,교환/반품,오배송 상품,high,negative,true,교환/반품 > 오배송 상품 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0104,방금 확인했는데 주문한 색상과 다른 색상이 왔어요,교환/반품,오배송 상품,high,negative,true,교환/반품 > 오배송 상품 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0105,주문한 색상과 다른 색상이 왔어요 어떻게 처리하면 될까요,교환/반품,오배송 상품,high,negative,true,교환/반품 > 오배송 상품 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0106,교환 신청 방법을 알고 싶어요,교환/반품,교환 절차,low,neutral,false,교환/반품 > 교환 절차 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0107,교환 신청 방법을 알고 싶어요 확인 부탁드립니다,교환/반품,교환 절차,low,neutral,false,교환/반품 > 교환 절차 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0108,문의드립니다 교환 신청 방법을 알고 싶어요,교환/반품,교환 절차,low,neutral,false,교환/반품 > 교환 절차 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0109,방금 확인했는데 교환 신청 방법을 알고 싶어요,교환/반품,교환 절차,low,neutral,false,교환/반품 > 교환 절차 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0110,교환 신청 방법을 알고 싶어요 어떻게 처리하면 될까요,교환/반품,교환 절차,low,neutral,false,교환/반품 > 교환 절차 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0111,반품 배송비가 왜 발생하는지 궁금해요,교환/반품,반품비,normal,neutral,false,교환/반품 > 반품비 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0112,반품 배송비가 왜 발생하는지 궁금해요 확인 부탁드립니다,교환/반품,반품비,normal,neutral,false,교환/반품 > 반품비 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0113,문의드립니다 반품 배송비가 왜 발생하는지 궁금해요,교환/반품,반품비,normal,neutral,false,교환/반품 > 반품비 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0114,방금 확인했는데 반품 배송비가 왜 발생하는지 궁금해요,교환/반품,반품비,normal,neutral,false,교환/반품 > 반품비 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0115,반품 배송비가 왜 발생하는지 궁금해요 어떻게 처리하면 될까요,교환/반품,반품비,normal,neutral,false,교환/반품 > 반품비 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0116,이 제품을 어떻게 사용하면 되나요,상품정보,사용법,low,neutral,false,상품정보 > 사용법 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0117,이 제품을 어떻게 사용하면 되나요 확인 부탁드립니다,상품정보,사용법,low,neutral,false,상품정보 > 사용법 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0118,문의드립니다 이 제품을 어떻게 사용하면 되나요,상품정보,사용법,low,neutral,false,상품정보 > 사용법 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0119,방금 확인했는데 이 제품을 어떻게 사용하면 되나요,상품정보,사용법,low,neutral,false,상품정보 > 사용법 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0120,이 제품을 어떻게 사용하면 되나요 어떻게 처리하면 될까요,상품정보,사용법,low,neutral,false,상품정보 > 사용법 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0121,어떤 성분이 들어있는지 궁금해요,상품정보,성분/소재,low,neutral,false,상품정보 > 성분/소재 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0122,어떤 성분이 들어있는지 궁금해요 확인 부탁드립니다,상품정보,성분/소재,low,neutral,false,상품정보 > 성분/소재 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0123,문의드립니다 어떤 성분이 들어있는지 궁금해요,상품정보,성분/소재,low,neutral,false,상품정보 > 성분/소재 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
GOLD-0124,방금 확인했는데 어떤 성분이 들어있는지 궁금해요,상품정보,성분/소재,low,neutral,false,상품정보 > 성분/소재 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0125,어떤 성분이 들어있는지 궁금해요 어떻게 처리하면 될까요,상품정보,성분/소재,low,neutral,false,상품정보 > 성분/소재 경계 규칙에 맞춘 합성 예시,operational_mix,synthetic,provisional,v0.2-seed
GOLD-0126,어떤 사이즈를 선택해야 할까요,상품정보,옵션/사이즈,low,neutral,false,상품정보 > 옵션/사이즈 경계 규칙에 맞춘 합성 예시,coverage,synthetic,provisional,v0.2-seed
